,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,AAL,AAL,AAMRQ,AAMRQ,AABA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1,AAMRQ,AAMRQ,AAPL,AAPL,AAMRQ,AABA,AABA,AABA,AABA,AABA,AABA,AABA,AABA,AABA,AABA,AABA,AABA,AABA,AABA,AABA,AABA,AABA,AAL,AAL,AAL,AAL,AAL,AAL
2,AAPL,AAPL,ABI,ABI,AAPL,AAMRQ,AAMRQ,AAMRQ,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAL,AAL,AAP,AAP,AAP,AAP,AAP,AAP
3,ABI,ABI,ABS,ABS,ABI,AAPL,AAPL,AAPL,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABBV,ABBV,ABBV,AAP,AAP,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
4,ABS,ABS,ABT,ABT,ABS,ABI,ABC,ABC,ABI,ABI,ABI,ABI,ABI,ABT,ABT,ABT,ABT,ABC,ABC,ABC,AAPL,AAPL,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV
5,ABT,ABT,ABX,ABX,ABT,ABKFQ,ABI,ABI,ABKFQ,ABKFQ,ABKFQ,ABKFQ,ABKFQ,ACAS,ACS,ADBE,ACN,ABT,ABT,ABT,ABBV,ABBV,ABC,ABC,ABC,ABC,ABC,ABC
6,ABX,ABX,ACKH,ACKH,ABX,ABS,ABKFQ,ABKFQ,ABS,ABS,ABS,ABT,ABT,ACS,ADBE,ADI,ADBE,ACN,ACN,ACN,ABC,ABC,ABT,ABMD,ABMD,ABMD,ABMD,ABT
7,ACKH,ACKH,ACV,ACV,ACKH,ABT,ABS,ABS,ABT,ABT,ABT,ACS,ACAS,ADBE,ADI,ADM,ADI,ADBE,ADBE,ADBE,ABT,ABT,ACN,ABT,ABT,ABT,ABT,ACGL
8,ACV,ACV,ADBE,ADBE,ACV,ABX,ABT,ABT,ACV,ACS,ACS,ADBE,ACS,ADI,ADM,ADP,ADM,ADI,ADI,ADI,ACN,ACN,ADBE,ACN,ACN,ACN,ACN,ACN
9,ADM,ADM,ADM,ADM,ADBE,ACV,ABX,ACV,ADBE,ACV,ACV,ADCT,ADBE,ADM,ADP,ADSK,ADP,ADM,ADM,ADM,ADBE,ADBE,ADI,ADBE,ADBE,ADBE,ADBE,ADBE
10,ADP,ADP,ADP,ADP,ADCT,ADBE,ACV,ADBE,ADCT,ADBE,ADBE,ADI,ADI,ADP,ADSK,AEE,ADSK,ADP,ADP,ADP,ADI,ADI,ADM,ADI,ADI,ADI,ADI,ADI
11,ADSK,ADSK,ADSK,ADSK,ADI,ADCT,ADBE,ADCT,ADI,ADCT,ADCT,ADM,ADM,ADSK,AEE,AEP,AEE,ADSK,ADS,ADS,ADM,ADM,ADP,ADM,ADM,ADM,ADM,ADM
12,AEE,AEE,AEE,AEE,ADM,ADI,ADCT,ADI,ADM,ADI,ADI,ADP,ADP,AEE,AEP,AES,AEP,ADT,ADSK,ADSK,ADP,ADP,ADS,ADP,ADP,ADP,ADP,ADP
13,AEP,AEP,AEP,AEP,ADP,ADM,ADI,ADM,ADP,ADM,ADM,ADSK,ADSK,AEP,AES,AET,AES,AEE,ADT,ADT,ADS,ADS,ADSK,ADS,ADS,ADSK,ADSK,ADSK
14,AET,AET,AET,AES,ADSK,ADP,ADM,ADP,ADSK,ADP,ADP,AEE,AEE,AES,AET,AFL,AET,AEP,AEE,AEE,ADSK,ADSK,AEE,ADSK,ADSK,AEE,AEE,AEE
15,AGC,AGC,AGC,AET,AEE,ADSK,ADP,ADSK,AEE,ADSK,ADSK,AEP,AEP,AET,AFL,AGN,AFL,AES,AEP,AEP,ADT,AEE,AEP,AEE,AEE,AEP,AEP,AEP
16,AGN,AGN,AGN,AFS.A,AEP,AEE,ADSK,AEE,AEP,AEE,AEE,AES,AES,AFL,AGN,AIG,AGN,AET,AES,AES,AEE,AEP,AES,AEP,AEP,AES,AES,AES
17,AHM,AHM,AHM,AGC,AES,AEP,AEE,AEP,AES,AEP,AEP,AET,AET,AGN,AIG,AIV,AIG,AFL,AET,AET,AEP,AES,AET,AES,AES,AFL,AFL,AFL
18,AIG,AIG,AIG,AGN,AET,AES,AEP,AES,AET,AES,AES,AFL,AFL,AIG,AIV,AIZ,AIV,AGN,AFL,AFL,AES,AET,AFL,AFL,AFL,AIG,AIG,AIG
19,AIT,AIT,AIT,AIG,AFL,AET,AES,AET,AFL,AET,AET,AGN,AGN,AIV,AIZ,AKAM,AIZ,AIG,AGN,AGN,AET,AFL,AGN,AGN,AGN,AIZ,AIZ,AIZ
20,AL,AL,AL,AIT,AFS.A,AFL,AET,AFL,AGN,AFL,AFL,AIG,AIG,AIZ,AKAM,AKS,AKAM,AIV,AIG,AIG,AFL,AGN,AIG,AIG,AIG,AJG,AJG,AJG
21,ALL,ALL,ALL,AL,AGC,AGC,AFL,AGN,AIG,AGN,AGN,AIV,AIV,AKAM,AKS,ALL,ALL,AIZ,AIV,AIV,AGN,AIG,AIV,AIV,AIV,AKAM,AKAM,AKAM
22,AM,AM,AM,ALL,AGN,AGN,AGN,AIG,AIV,AIG,AIG,ALL,AIZ,AKS,ALL,ALTR,ALTR,AKAM,AIZ,AIZ,AIG,AIV,AIZ,AIZ,AIZ,ALB,ALB,ALB
23,AMAT,AMAT,AMAT,AM,AIG,AIG,AIG,ALL,ALL,AIV,AIV,ALTR,AKAM,ALL,ALTR,AMAT,AMAT,ALL,AKAM,AKAM,AIV,AIZ,AJG,AJG,AJG,ALGN,ALGN,ALGN
24,AMD,AMD,AMD,AMAT,AL,AL,AL,ALTR,ALTR,ALL,ALL,AMAT,ALL,ALTR,AMAT,AMD,AMD,ALTR,ALL,ALL,AIZ,AJG,AKAM,AKAM,AKAM,ALK,ALK,ALK
25,AMGN,AMGN,AMGN,AMD,ALL,ALL,ALL,AM,AM,ALTR,ALTR,AMD,ALTR,AMAT,AMD,AMGN,AMGN,ALXN,ALLE,ALLE,AKAM,AKAM,ALB,ALB,ALB,ALL,ALL,ALL
26,AMH,AMH,AMP,AMGN,AM,ALTR,ALTR,AMAT,AMAT,AMAT,AMAT,AMGN,AMAT,AMD,AMGN,AMP,AMP,AMAT,ALTR,ALTR,ALL,ALB,ALGN,ALGN,ALGN,ALLE,ALLE,ALLE
27,AMP,AMP,AN,AMP,AMAT,AM,AM,AMCC,AMCC,AMCC,AMCC,AMP,AMD,AMGN,AMP,AMT,AMT,AMD,ALXN,ALXN,ALLE,ALK,ALK,ALK,ALK,ALXN,AMAT,AMAT
28,AN,AN,ANDW,ANDW,AMD,AMAT,AMAT,AMD,AMD,AMD,AMD,AMZN,AMGN,AMP,AMT,AMZN,AMZN,AMGN,AMAT,AMAT,ALXN,ALL,ALL,ALL,ALL,AMAT,AMCR,AMCR
29,ANDW,ANDW,ANV,ANV,AMGN,AMCC,AMCC,AMGN,AMGN,AMGN,AMGN,AN,AMP,AMT,AMZN,AN,AN,AMP,AME,AME,AMAT,ALLE,ALLE,ALLE,ALLE,AMCR,AMD,AMD
30,ANV,ANV,AON,AON,ANDW,AMD,AMD,ANDW,AN,AN,AMP,ANTM,AMT,AMZN,AN,ANDV,ANDV,AMT,AMGN,AMG,AME,ALXN,ALXN,ALXN,ALXN,AMD,AME,AME
31,APD,AON,APA,APA,AON,AMGN,AMGN,ANTM,ANDW,ANDW,AMZN,AON,AMZN,AN,ANDV,ANF,ANF,AMZN,AMP,AMGN,AMG,AMAT,AMAT,AMAT,AMAT,AME,AMGN,AMGN
32,AR,APD,APC,APC,APA,ANDW,ANDW,AON,ANTM,ANTM,AN,APA,AN,ANDV,ANF,ANTM,ANRZQ,AN,AMT,AMP,AMGN,AME,AMD,AMD,AMCR,AMGN,AMP,AMP
33,ARC,AR,APD,APD,APC,AON,AON,APA,AON,AON,ANDW,APC,ANDV,ANF,ANTM,AON,ANTM,ANDV,AMZN,AMT,AMP,AMG,AME,AME,AMD,AMP,AMT,AMT
34,ARNC,ARC,AR,AR,APD,APA,APA,APC,APA,APA,ANTM,APCC,ANF,ANTM,AON,APA,AON,ANF,AN,AMZN,AMT,AMGN,AMG,AMG,AME,AMT,AMZN,AMZN
35,AS,ARNC,ARC,ARC,ARC,APC,APC,APCC,APC,APC,AON,APD,ANTM,AON,APA,APC,APA,ANTM,ANDV,AN,AMZN,AMP,AMGN,AMGN,AMGN,AMZN,ANET,ANET
36,ASC,AS,ARNC,ARNC,ARNC,APCC,APCC,APD,APCC,APCC,APA,APOL,AON,APA,APC,APD,APC,AON,ANTM,ANDV,AN,AMT,AMP,AMP,AMP,ANET,ANSS,ANSS
37,ASH,ASC,AS,ASC,ASH,APD,APD,APOL,APD,APD,APC,ARNC,APA,APC,APD,APH,APD,APA,AON,ANTM,ANDV,AMZN,AMT,AMT,AMT,ANSS,ANTM,AON
38,AT,ASH,ASC,ASH,ASO,ARNC,ARNC,ARNC,APOL,APOL,APCC,ASH,APC,APD,APH,APOL,APH,APC,APA,AON,ANTM,AN,AMZN,AMZN,AMZN,ANTM,AON,AOS
39,ATI,AT,ASH,ASND,AT,ASH,ASH,ASH,ARNC,ARNC,APD,ASN,APD,APH,APOL,ARG,APOL,APD,APC,APA,AON,ANDV,ANDV,ANET,ANET,AON,AOS,APA
40,AVP,ATI,AT,AT,ATI,ASO,ASO,ASO,ASH,ASH,APOL,AT,APOL,APOL,ARG,ARNC,ARG,APH,APD,APC,APA,ANTM,ANSS,ANSS,ANSS,AOS,APA,APD
41,AVY,AVP,ATI,ATI,AVP,AT,AT,AT,ASO,ASN,ARNC,ATI,ARNC,ARNC,ARNC,ATGE,ARNC,APOL,APH,APD,APC,AON,ANTM,ANTM,ANTM,APA,APD,APH
42,AXP,AVY,AVP,AVP,AVY,ATI,ATI,ATI,AT,ASO,ASH,AV,ASH,ATI,ATGE,ATI,ATGE,APTV,APTV,APH,APD,APA,AON,AON,AON,APD,APH,APTV
43,AZA.A,AXP,AVY,AVY,AW,AV,AV,AV,ATI,AT,ASN,AVP,ATI,AVB,ATI,AVB,ATI,ARG,ARG,APTV,APH,APC,AOS,AOS,AOS,APH,APTV,ARE
44,BA,AZA.A,AXP,AXP,AXP,AVP,AVP,AVP,AV,ATI,ASO,AVY,AVB,AVP,AVB,AVP,AVB,ARNC,ARNC,ARG,APTV,APD,APA,APA,APA,APTV,ARE,ATO
45,BAC,AZO,AZA.A,AZA.A,AZA.A,AVY,AVY,AVY,AVP,AV,AT,AW,AVP,AVY,AVP,AVY,AVP,ATI,ATI,ARNC,ARG,APH,APC,APC,APD,ARE,ATO,ATVI
46,BAX,BA,AZO,AZO,AZO,AW,AW,AW,AVY,AVP,ATI,AXP,AVY,AXP,AVY,AXP,AVY,AVB,AVB,ATI,ARNC,APTV,APD,APD,APH,ATO,ATVI,AVB
47,BBI,BAC,BA,BA,BA,AXP,AWE,AWE,AW,AVY,AV,AYE,AW,AYE,AXP,AYE,AXP,AVP,AVP,AVB,ATVI,ARNC,APH,APH,APTV,ATVI,AVB,AVGO
48,BC,BAX,BAC,BAC,BAC,AYE,AXP,AXP,AWE,AW,AVP,AZO,AXP,AZO,AYE,AZO,AZO,AVY,AVY,AVGO,AVB,ATVI,APTV,APTV,ARE,AVB,AVGO,AVY
49,BCO,BAY,BAX,BAX,BAX,AZA.A,AYE,AYE,AXP,AXP,AVY,BA,AYE,BA,AZO,BA,BA,AXP,AXP,AVP,AVGO,AVB,ARE,ARE,ARNC,AVGO,AVY,AWK
50,BCR,BBI,BAY,BBT,BBBY,AZO,AZO,AZO,AYE,AYE,AW,BAC,AZO,BAC,BA,BAC,BAC,AZO,AZO,AVY,AVY,AVGO,ARNC,ARNC,ATO,AVY,AWK,AXP
51,BDK,BC,BBI,BC,BBT,BA,BA,BA,AZO,AZO,AXP,BAX,BA,BAX,BAC,BAX,BAX,BA,BA,AXP,AXP,AVY,ATVI,ATVI,ATVI,AWK,AXP,AZO
52,BDX,BCR,BBT,BCR,BBY,BAC,BAC,BAC,BA,BA,AYE,BBBY,BAC,BBBY,BAX,BBBY,BBBY,BAC,BAC,AZO,AZO,AWK,AVB,AVB,AVB,AXP,AZO,BA
53,BEAM,BDK,BC,BDK,BC,BAX,BAX,BAX,BAC,BAC,AZO,BBT,BAX,BBT,BBBY,BBT,BBT,BAX,BAX,BA,BA,AXP,AVGO,AVGO,AVGO,AZO,BA,BAC
54,BEV,BDX,BCR,BDX,BCR,BBBY,BBBY,BBBY,BAX,BAX,BA,BBY,BBBY,BBY,BBT,BBY,BBY,BBBY,BBBY,BAC,BAC,AYI,AVY,AVY,AVY,BA,BAC,BALL
55,BF.B,BEAM,BDK,BEAM,BDK,BBT,BBT,BBT,BBBY,BBBY,BAC,BC,BBT,BCR,BBY,BCR,BCR,BBT,BBT,BAX,BAX,AZO,AWK,AWK,AWK,BAC,BAX,BAX
56,BFI,BEV,BDX,BEN,BDX,BBY,BBY,BBY,BBT,BBT,BAX,BCR,BBY,BDK,BCR,BDX,BDX,BBY,BBY,BBBY,BBBY,BA,AXP,AXP,AXP,BAX,BBWI,BBWI
57,BFO,BF.B,BEAM,BF.B,BEAM,BC,BC,BC,BBY,BBY,BBBY,BDK,BC,BDX,BDK,BEAM,BEAM,BCR,BCR,BBT,BBT,BAC,AYI,AZO,AZO,BBY,BBY,BBY
58,BGG,BFI,BF.B,BFI,BEN,BCR,BCR,BCR,BC,BC,BBT,BDX,BCR,BEAM,BDX,BEN,BEN,BDX,BDX,BBY,BBY,BAX,AZO,BA,BA,BDX,BDX,BDX
59,BHGE,BFO,BFI,BFO,BF.B,BDK,BDK,BDK,BCR,BCR,BBY,BEAM,BDK,BEN,BEAM,BF.B,BF.B,BEAM,BEAM,BCR,BCR,BBBY,BA,BAC,BAC,BEN,BEN,BEN
60,BHMSQ,BGG,BFO,BGG,BFO,BDX,BDX,BDX,BDK,BDK,BC,BEN,BDX,BF.B,BEN,BHGE,BHGE,BEN,BEN,BDX,BDX,BBT,BAC,BAX,BAX,BF.B,BF.B,BF.B
61,BK,BHGE,BGG,BHGE,BGG,BEAM,BEAM,BEAM,BDX,BDX,BCR,BF.B,BEAM,BHGE,BF.B,BIG,BIG,BF.B,BF.B,BEN,BEN,BBY,BAX,BBT,BBY,BIIB,BIIB,BIIB
62,BKB,BHMSQ,BHGE,BHMSQ,BHGE,BEN,BEN,BEN,BEAM,BEAM,BDK,BHGE,BEN,BIG,BHGE,BIIB,BIIB,BHGE,BHGE,BF.B,BF.B,BCR,BBT,BBY,BDX,BIO,BIO,BIO
63,BLL,BK,BHMSQ,BIG,BHMSQ,BF.B,BF.B,BF.B,BEN,BEN,BDX,BIG,BF.B,BIIB,BIG,BK,BK,BIG,BIIB,BHGE,BHGE,BDX,BBY,BDX,BEN,BK,BK,BK
64,BLS,BKB,BK,BK,BIG,BGEN,BGEN,BGEN,BF.B,BF.B,BEAM,BIIB,BHGE,BJS,BIIB,BKNG,BKNG,BIIB,BK,BIIB,BIIB,BEN,BDX,BEN,BF.B,BKNG,BKNG,BKNG
65,BLY,BLL,BKB,BKB,BK,BGG,BHGE,BHGE,BHGE,BHGE,BEN,BJS,BIG,BK,BJS,BLL,BLK,BK,BKNG,BK,BK,BF.B,BEN,BF.B,BIIB,BKR,BKR,BKR
66,BMET,BLS,BLL,BLL,BLL,BHGE,BIG,BIG,BIG,BIG,BF.B,BK,BIIB,BLL,BK,BMC,BLL,BKNG,BLK,BKNG,BKNG,BHGE,BF.B,BHF,BK,BLK,BLK,BLK
67,BMS,BMET,BLS,BLS,BLS,BIG,BK,BJS,BIIB,BIIB,BHGE,BLL,BJS,BMC,BKNG,BMS,BMC,BLK,BLL,BLK,BLK,BIIB,BHF,BHGE,BKNG,BLL,BLL,BMY
